#integrated ctr data(1000uM pb on rcut hematite, zero inten free)
#h 	k 	l 	I 	Ier 	Bl 		DL
1.000 1.000 -5.811 59.086 9.400 -4.139 2.000
1.000 1.000 -5.731 47.741 8.682 -4.139 2.000
1.000 1.000 -5.651 40.486 7.736 -4.139 2.000
1.000 1.000 -5.571 32.750 7.141 -4.139 2.000
1.000 1.000 -5.491 25.998 5.796 -4.139 2.000
1.000 1.000 -5.411 22.189 5.614 -4.139 2.000
1.000 1.000 -5.331 20.152 4.809 -4.139 2.000
1.000 1.000 -5.251 20.240 4.732 -4.139 2.000
1.000 1.000 -5.171 20.881 4.873 -4.139 2.000
1.000 1.000 -5.091 21.728 5.078 -4.139 2.000
1.000 1.000 -5.011 24.234 5.140 -4.139 2.000
1.000 1.000 -4.931 27.977 5.515 -4.139 2.000
1.000 1.000 -4.851 32.127 5.842 -4.139 2.000
1.000 1.000 -4.771 35.515 5.836 -4.139 2.000
1.000 1.000 -4.691 39.646 5.968 -4.139 2.000
1.000 1.000 -4.611 45.061 6.931 -4.139 2.000
1.000 1.000 -4.531 50.647 7.518 -4.139 2.000
1.000 1.000 -4.451 57.689 8.430 -4.139 2.000
1.000 1.000 -4.424 58.753 8.759 -4.139 2.000
1.000 1.000 -4.398 64.698 9.253 -4.139 2.000
1.000 1.000 -4.371 69.240 9.886 -4.139 2.000
1.000 1.000 -4.344 72.529 10.616 -4.139 2.000
1.000 1.000 -4.318 81.485 11.581 -4.139 2.000
1.000 1.000 -4.291 85.551 12.830 -4.139 2.000
1.000 1.000 -4.264 100.705 14.621 -4.139 2.000
1.000 1.000 -4.238 117.574 17.543 -4.139 2.000
1.000 1.000 -4.211 158.377 21.755 -4.139 2.000
1.000 1.000 -4.078 80.920 15.979 -4.139 2.000
1.000 1.000 -4.051 54.376 13.432 -4.139 2.000
1.000 1.000 -4.024 33.962 10.505 -4.139 2.000
1.000 1.000 -3.998 27.211 9.642 -4.139 2.000
1.000 1.000 -3.971 22.046 8.935 -4.139 2.000
1.000 1.000 -3.944 18.920 8.234 -4.139 2.000
1.000 1.000 -3.918 16.350 7.137 -4.139 2.000
1.000 1.000 -3.891 16.971 6.869 -4.139 2.000
1.000 1.000 -3.864 16.736 6.070 -4.139 2.000
1.000 1.000 -3.811 19.257 6.061 -4.139 2.000
1.000 1.000 -3.731 20.439 5.278 -4.139 2.000
1.000 1.000 -3.571 22.518 4.746 -4.139 2.000
1.000 1.000 -3.411 27.220 4.684 -4.139 2.000
1.000 1.000 -3.331 30.028 4.372 -4.139 2.000
1.000 1.000 -3.251 34.718 4.631 -4.139 2.000
1.000 1.000 -3.171 38.121 4.927 -4.139 2.000
1.000 1.000 -3.091 43.787 5.180 -4.139 2.000
1.000 1.000 -3.011 46.761 4.854 -4.139 2.000
1.000 1.000 -2.931 52.990 5.006 -4.139 2.000
1.000 1.000 -2.851 57.357 5.147 -4.139 2.000
1.000 1.000 -2.771 62.174 5.349 -4.139 2.000
1.000 1.000 -2.691 67.070 5.639 -4.139 2.000
1.000 1.000 -2.611 73.992 6.027 -4.139 2.000
1.000 1.000 -2.531 81.359 6.598 -4.139 2.000
1.000 1.000 -2.451 96.604 7.637 -4.139 2.000
1.000 1.000 -2.424 105.034 8.197 -4.139 2.000
1.000 1.000 -2.398 116.763 8.910 -4.139 2.000
1.000 1.000 -2.371 132.220 9.873 -4.139 2.000
1.000 1.000 -2.344 154.716 11.265 -4.139 2.000
1.000 1.000 -2.318 181.538 13.066 -4.139 2.000
1.000 1.000 -2.291 225.902 16.170 -4.139 2.000
1.000 1.000 -2.264 294.055 21.145 -4.139 2.000
1.000 1.000 -2.238 405.065 30.618 -4.139 2.000
1.000 1.000 -2.211 640.426 49.568 -4.139 2.000
1.000 1.000 -2.078 487.585 38.599 -4.139 2.000
1.000 1.000 -2.051 380.637 29.838 -4.139 2.000
1.000 1.000 -2.024 316.259 22.618 -4.139 2.000
1.000 1.000 -1.998 270.630 18.288 -4.139 2.000
1.000 1.000 -1.971 238.809 15.287 -4.139 2.000
1.000 1.000 -1.944 212.704 13.086 -4.139 2.000
1.000 1.000 -1.918 194.838 11.631 -4.139 2.000
1.000 1.000 -1.891 178.137 10.355 -4.139 2.000
1.000 1.000 -1.864 165.191 9.389 -4.139 2.000
1.000 1.000 -1.811 142.697 7.895 -4.139 2.000
1.000 1.000 -1.731 117.668 6.384 -4.139 2.000
1.000 1.000 -1.651 98.642 5.364 -4.139 2.000
1.000 1.000 -1.571 83.008 4.615 -4.139 2.000
1.000 1.000 -1.491 69.656 4.058 -4.139 2.000
1.000 1.000 -1.411 57.533 3.591 -4.139 2.000
1.000 1.000 -1.331 46.970 3.263 -4.139 2.000
1.000 1.000 -1.251 37.439 2.974 -4.139 2.000
1.000 1.000 -1.091 23.023 2.745 -4.139 2.000
1.000 1.000 -1.011 17.591 2.562 -4.139 2.000
1.000 1.000 -0.931 14.116 2.359 -4.139 2.000
1.000 1.000 -0.771 19.229 2.261 -4.139 2.000
1.000 1.000 -0.691 24.788 2.208 -4.139 2.000
1.000 1.000 -0.611 29.418 2.092 -4.139 2.000
1.000 1.000 0.611 51.195 2.431 1.861 2.000
1.000 1.000 0.691 59.144 2.594 1.861 2.000
1.000 1.000 0.771 63.392 2.833 1.861 2.000
1.000 1.000 0.851 67.777 3.063 1.861 2.000
1.000 1.000 0.931 73.208 3.301 1.861 2.000
1.000 1.000 1.011 79.239 3.536 1.861 2.000
1.000 1.000 1.091 86.619 3.910 1.861 2.000
1.000 1.000 1.171 95.088 4.302 1.861 2.000
1.000 1.000 1.251 105.528 4.796 1.861 2.000
1.000 1.000 1.331 117.645 5.414 1.861 2.000
1.000 1.000 1.411 133.386 6.263 1.861 2.000
1.000 1.000 1.491 154.102 7.493 1.861 2.000
1.000 1.000 1.571 185.136 9.465 1.861 2.000
1.000 1.000 1.598 199.065 10.423 1.861 2.000
1.000 1.000 1.624 216.169 11.602 1.861 2.000
1.000 1.000 1.651 236.986 13.138 1.861 2.000
1.000 1.000 1.678 264.617 15.237 1.861 2.000
1.000 1.000 1.704 300.264 18.116 1.861 2.000
1.000 1.000 1.731 350.849 22.412 1.861 2.000
1.000 1.000 1.758 426.370 29.713 1.861 2.000
1.000 1.000 1.784 553.065 42.798 1.861 2.000
1.000 1.000 1.811 802.810 60.700 1.861 2.000
1.000 1.000 1.918 716.183 54.598 1.861 2.000
1.000 1.000 1.944 461.878 36.663 1.861 2.000
1.000 1.000 1.971 336.394 25.067 1.861 2.000
1.000 1.000 1.998 262.839 18.653 1.861 2.000
1.000 1.000 2.024 211.849 14.745 1.861 2.000
1.000 1.000 2.051 177.848 12.297 1.861 2.000
1.000 1.000 2.078 152.061 10.587 1.861 2.000
1.000 1.000 2.104 136.747 9.569 1.861 2.000
1.000 1.000 2.131 127.840 8.797 1.861 2.000
1.000 1.000 2.158 110.953 7.994 1.861 2.000
1.000 1.000 2.211 80.769 6.303 1.861 2.000
1.000 1.000 2.291 66.186 5.740 1.861 2.000
1.000 1.000 2.371 53.643 5.204 1.861 2.000
1.000 1.000 2.451 45.550 4.855 1.861 2.000
1.000 1.000 2.611 31.120 4.041 1.861 2.000
1.000 1.000 2.691 25.840 4.359 1.861 2.000
1.000 1.000 2.771 18.892 3.539 1.861 2.000
1.000 1.000 2.931 13.194 3.831 1.861 2.000
1.000 1.000 3.011 13.722 3.896 1.861 2.000
1.000 1.000 3.091 19.604 4.127 1.861 2.000
1.000 1.000 3.171 27.184 4.387 1.861 2.000
1.000 1.000 3.251 36.109 4.761 1.861 2.000
1.000 1.000 3.331 48.658 5.301 1.861 2.000
1.000 1.000 3.411 62.919 6.067 1.861 2.000
1.000 1.000 3.491 81.751 7.220 1.861 2.000
1.000 1.000 3.571 110.551 9.317 1.861 2.000
1.000 1.000 3.598 121.504 10.189 1.861 2.000
1.000 1.000 3.624 137.987 11.303 1.861 2.000
1.000 1.000 3.651 157.461 12.725 1.861 2.000
1.000 1.000 3.678 181.878 14.616 1.861 2.000
1.000 1.000 3.704 215.789 17.263 1.861 2.000
1.000 1.000 3.731 262.385 21.094 1.861 2.000
1.000 1.000 3.758 332.783 27.687 1.861 2.000
1.000 1.000 3.784 456.967 39.691 1.861 2.000
1.000 1.000 3.811 735.715 58.744 1.861 2.000
1.000 1.000 3.918 507.461 43.684 1.861 2.000
1.000 1.000 3.944 352.413 33.602 1.861 2.000
1.000 1.000 3.971 274.138 25.558 1.861 2.000
1.000 1.000 3.998 216.392 20.175 1.861 2.000
1.000 1.000 4.024 181.791 16.904 1.861 2.000
1.000 1.000 4.051 156.818 14.637 1.861 2.000
1.000 1.000 4.078 134.154 12.959 1.861 2.000
1.000 1.000 4.104 119.717 11.768 1.861 2.000
1.000 1.000 4.131 107.043 10.772 1.861 2.000
1.000 1.000 4.158 95.533 10.040 1.861 2.000
1.000 1.000 4.211 81.703 8.882 1.861 2.000
1.000 1.000 4.291 62.858 7.804 1.861 2.000
1.000 1.000 4.371 51.220 7.115 1.861 2.000
1.000 1.000 4.451 41.881 5.788 1.861 2.000
1.000 1.000 4.531 33.026 5.333 1.861 2.000
1.000 1.000 4.611 29.811 5.217 1.861 2.000
1.000 1.000 4.691 25.880 4.660 1.861 2.000
1.000 1.000 4.771 22.918 4.558 1.861 2.000
1.000 1.000 4.931 22.018 5.056 1.861 2.000
1.000 1.000 5.011 21.864 5.100 1.861 2.000
1.000 1.000 5.091 22.422 5.341 1.861 2.000
1.000 1.000 5.171 23.975 5.579 1.861 2.000
1.000 1.000 5.251 28.614 5.898 1.861 2.000
1.000 1.000 5.331 32.081 6.613 1.861 2.000
1.000 1.000 5.411 41.181 7.040 1.861 2.000
1.000 1.000 5.491 50.180 7.997 1.861 2.000
1.000 1.000 5.571 64.691 9.448 1.861 2.000
1.000 1.000 5.598 70.925 10.187 1.861 2.000
1.000 1.000 5.624 79.076 11.090 1.861 2.000
1.000 1.000 5.651 88.615 12.127 1.861 2.000
1.000 1.000 5.678 99.610 13.583 1.861 2.000
1.000 1.000 5.704 115.277 15.504 1.861 2.000
1.000 1.000 5.731 139.266 18.283 1.861 2.000
1.000 1.000 5.758 171.252 22.747 1.861 2.000
1.000 1.000 5.784 229.151 30.292 1.861 2.000
1.000 1.000 5.811 375.155 40.217 1.861 2.000
2.000 -1.000 -7.091 23.801 7.707 -6.861 2.000
2.000 -1.000 -7.011 35.133 7.803 -6.861 2.000
2.000 -1.000 -6.931 74.150 8.867 -6.861 2.000
2.000 -1.000 -6.851 338.606 15.409 -6.861 2.000
2.000 -1.000 -6.771 50.253 7.889 -6.861 2.000
2.000 -1.000 -6.691 26.606 7.307 -6.861 2.000
2.000 -1.000 -6.611 19.617 7.116 -6.861 2.000
2.000 -1.000 -6.531 19.782 7.004 -6.861 2.000
2.000 -1.000 -6.451 21.607 7.086 -6.861 2.000
2.000 -1.000 -6.371 19.625 7.109 -6.861 2.000
2.000 -1.000 -5.064 23.235 13.677 -6.861 2.000
2.000 -1.000 -5.038 22.769 14.366 -6.861 2.000
2.000 -1.000 -5.011 33.816 15.142 -6.861 2.000
2.000 -1.000 -4.984 25.107 15.177 -4.861 4.000
2.000 -1.000 -4.958 28.026 15.459 -4.861 4.000
2.000 -1.000 -4.931 46.420 15.858 -4.861 4.000
2.000 -1.000 -4.798 36.095 14.772 -4.861 4.000
2.000 -1.000 -4.771 21.697 14.411 -4.861 4.000
2.000 -1.000 -4.744 24.182 14.397 -4.861 4.000
2.000 -1.000 -4.584 19.446 10.866 -4.861 4.000
2.000 -1.000 -4.291 18.213 7.283 -4.861 4.000
2.000 -1.000 -4.211 17.575 6.767 -4.861 4.000
2.000 -1.000 -4.131 16.665 6.356 -4.861 4.000
2.000 -1.000 -4.051 15.323 5.989 -4.861 4.000
2.000 -1.000 -3.971 15.215 5.698 -4.861 4.000
2.000 -1.000 -3.891 15.097 5.428 -4.861 4.000
2.000 -1.000 -3.811 14.008 4.935 -4.861 4.000
2.000 -1.000 -3.731 11.627 4.996 -4.861 4.000
2.000 -1.000 -3.651 10.672 4.809 -4.861 4.000
2.000 -1.000 -3.571 12.614 4.648 -4.861 4.000
2.000 -1.000 -3.491 11.928 4.508 -4.861 4.000
2.000 -1.000 -3.411 13.157 4.379 -4.861 4.000
2.000 -1.000 -3.331 13.172 4.263 -4.861 4.000
2.000 -1.000 -3.251 15.080 4.056 -4.861 4.000
2.000 -1.000 -3.171 14.068 3.814 -4.861 4.000
2.000 -1.000 -3.091 16.792 3.741 -4.861 4.000
2.000 -1.000 -3.011 15.664 3.925 -4.861 4.000
2.000 -1.000 -2.931 16.020 3.819 -4.861 4.000
2.000 -1.000 -2.851 16.029 3.465 -4.861 4.000
2.000 -1.000 -2.771 17.022 3.757 -4.861 4.000
2.000 -1.000 -2.691 14.823 3.692 -4.861 4.000
2.000 -1.000 -2.611 15.493 3.635 -4.861 4.000
2.000 -1.000 -2.531 15.182 3.571 -4.861 4.000
2.000 -1.000 -2.451 15.059 3.608 -4.861 4.000
2.000 -1.000 -2.291 13.007 3.590 -4.861 4.000
2.000 -1.000 -2.131 12.127 3.582 -4.861 4.000
2.000 -1.000 -2.051 10.933 3.599 -4.861 4.000
2.000 -1.000 -1.971 9.509 3.607 -4.861 4.000
2.000 -1.000 -1.811 10.046 3.220 -4.861 4.000
2.000 -1.000 -1.731 12.507 3.552 -4.861 4.000
2.000 -1.000 -1.651 15.149 3.664 -4.861 4.000
2.000 -1.000 -1.571 17.499 3.561 -4.861 4.000
2.000 -1.000 -1.491 21.203 3.825 -4.861 4.000
2.000 -1.000 -1.411 26.069 4.020 -4.861 4.000
2.000 -1.000 -1.331 31.763 4.403 -4.861 4.000
2.000 -1.000 -1.251 39.587 5.296 -4.861 4.000
2.000 -1.000 -1.171 49.141 6.089 -4.861 4.000
2.000 -1.000 -1.144 53.170 6.469 -4.861 4.000
2.000 -1.000 -1.118 60.535 7.004 -4.861 4.000
2.000 -1.000 -1.091 67.328 7.561 -4.861 4.000
2.000 -1.000 -1.064 77.909 8.612 -4.861 4.000
2.000 -1.000 -1.038 89.919 9.685 -4.861 4.000
2.000 -1.000 -1.011 109.560 11.217 -4.861 4.000
2.000 -1.000 -0.984 139.264 12.982 -4.861 4.000
2.000 -1.000 -0.958 190.528 16.210 -4.861 4.000
2.000 -1.000 -0.931 304.238 23.892 -4.861 4.000
2.000 -1.000 -0.798 181.766 15.139 -4.861 4.000
2.000 -1.000 -0.771 138.114 12.183 -4.861 4.000
2.000 -1.000 -0.744 112.851 10.482 -4.861 4.000
2.000 -1.000 -0.718 95.978 9.324 -4.861 4.000
2.000 -1.000 -0.691 83.828 8.278 -4.861 4.000
2.000 -1.000 -0.664 74.255 7.162 -4.861 4.000
2.000 -1.000 -0.638 66.108 6.188 -4.861 4.000
2.000 -1.000 -0.611 61.317 5.484 -4.861 4.000
2.000 -1.000 0.611 19.351 1.772 3.139 2.000
2.000 -1.000 0.691 19.371 2.018 3.139 2.000
2.000 -1.000 0.771 18.241 2.037 3.139 2.000
2.000 -1.000 0.851 19.240 2.119 3.139 2.000
2.000 -1.000 0.931 18.380 2.232 3.139 2.000
2.000 -1.000 1.011 19.061 2.345 3.139 2.000
2.000 -1.000 1.091 22.473 2.351 3.139 2.000
2.000 -1.000 1.251 22.601 2.506 3.139 2.000
2.000 -1.000 1.331 22.262 2.394 3.139 2.000
2.000 -1.000 1.411 22.385 2.491 3.139 2.000
2.000 -1.000 1.491 22.835 2.769 3.139 2.000
2.000 -1.000 1.571 22.357 2.944 3.139 2.000
2.000 -1.000 1.651 22.235 3.214 3.139 2.000
2.000 -1.000 1.731 21.740 3.290 3.139 2.000
2.000 -1.000 1.811 21.618 3.365 3.139 2.000
2.000 -1.000 1.891 21.202 3.587 3.139 2.000
2.000 -1.000 1.971 20.424 3.596 3.139 2.000
2.000 -1.000 2.051 19.344 3.617 3.139 2.000
2.000 -1.000 2.131 18.102 3.698 3.139 2.000
2.000 -1.000 2.211 18.508 4.098 3.139 2.000
2.000 -1.000 2.291 19.448 4.260 3.139 2.000
2.000 -1.000 2.371 20.378 4.448 3.139 2.000
2.000 -1.000 2.451 21.217 4.843 3.139 2.000
2.000 -1.000 2.531 23.162 5.295 3.139 2.000
2.000 -1.000 2.611 24.900 5.973 3.139 2.000
2.000 -1.000 2.691 27.105 6.917 3.139 2.000
2.000 -1.000 2.771 27.503 7.471 3.139 2.000
2.000 -1.000 2.851 28.269 8.218 3.139 2.000
2.000 -1.000 2.878 28.587 8.591 3.139 2.000
2.000 -1.000 2.904 30.402 8.509 3.139 2.000
2.000 -1.000 2.931 32.353 9.919 3.139 2.000
2.000 -1.000 2.958 28.596 9.612 3.139 2.000
2.000 -1.000 2.984 35.113 12.431 3.139 2.000
2.000 -1.000 3.011 39.456 11.644 3.139 2.000
2.000 -1.000 3.038 36.078 12.090 3.139 2.000
2.000 -1.000 3.064 47.990 12.696 3.139 2.000
2.000 -1.000 3.198 70.012 14.057 3.139 2.000
2.000 -1.000 3.224 49.593 12.969 3.139 2.000
2.000 -1.000 3.251 43.350 12.154 3.139 2.000
2.000 -1.000 3.278 37.218 11.651 3.139 2.000
2.000 -1.000 3.304 34.155 11.241 3.139 2.000
2.000 -1.000 3.331 33.145 12.263 3.139 2.000
2.000 -1.000 3.358 30.520 9.505 3.139 2.000
2.000 -1.000 3.384 28.594 9.421 3.139 2.000
2.000 -1.000 3.411 27.514 8.271 3.139 2.000
2.000 -1.000 3.438 26.484 7.982 3.139 2.000
2.000 -1.000 3.491 23.803 8.135 3.139 2.000
2.000 -1.000 3.571 19.510 6.352 3.139 2.000
2.000 -1.000 3.651 16.487 6.295 3.139 2.000
2.000 -1.000 3.731 14.736 5.703 3.139 2.000
2.000 -1.000 3.811 12.858 5.407 3.139 2.000
2.000 -1.000 3.891 10.428 5.163 3.139 2.000
2.000 -1.000 3.971 9.355 5.115 3.139 2.000
2.000 -1.000 4.051 8.406 4.632 3.139 2.000
2.000 -1.000 4.131 9.458 4.061 3.139 2.000
2.000 -1.000 4.211 10.522 4.807 3.139 2.000
2.000 -1.000 4.291 9.221 4.550 3.139 2.000
2.000 -1.000 4.371 10.877 4.581 3.139 2.000
2.000 -1.000 4.451 10.264 4.228 3.139 2.000
2.000 -1.000 4.531 12.785 5.022 3.139 2.000
2.000 -1.000 4.611 13.237 4.742 3.139 2.000
2.000 -1.000 4.691 11.286 4.882 3.139 2.000
2.000 -1.000 4.771 11.417 4.638 3.139 2.000
2.000 -1.000 4.851 13.298 4.998 3.139 2.000
2.000 -1.000 4.931 21.281 4.984 3.139 2.000
2.000 -1.000 5.011 38.416 5.647 3.139 2.000
2.000 -1.000 5.091 124.500 7.708 3.139 2.000
2.000 -1.000 5.251 72.405 6.768 3.139 2.000
2.000 -1.000 5.331 48.260 5.938 3.139 2.000
2.000 -1.000 5.411 37.752 6.334 3.139 2.000
2.000 -1.000 5.491 32.940 5.684 3.139 2.000
2.000 -1.000 5.571 25.499 5.590 3.139 2.000
2.000 -1.000 5.651 24.359 5.535 3.139 2.000
2.000 -1.000 5.731 21.260 5.672 3.139 2.000
2.000 -1.000 5.811 21.706 5.950 3.139 2.000
2.000 -1.000 5.891 16.747 5.723 3.139 2.000
2.000 -1.000 5.971 16.715 6.073 3.139 2.000
2.000 -1.000 6.051 15.464 6.300 3.139 2.000
2.000 -0.000 -6.851 19.797 6.819 -6.000 2.000
2.000 -0.000 -6.771 21.480 7.520 -6.000 2.000
2.000 -0.000 -6.691 23.098 6.571 -6.000 2.000
2.000 -0.000 -6.611 27.041 7.103 -6.000 2.000
2.000 -0.000 -6.531 31.145 7.532 -6.000 2.000
2.000 -0.000 -6.451 41.362 8.996 -6.000 2.000
2.000 -0.000 -6.371 50.194 9.978 -6.000 2.000
2.000 -0.000 -6.291 66.049 11.569 -6.000 2.000
2.000 -0.000 -6.264 72.867 12.338 -6.000 2.000
2.000 -0.000 -6.238 83.193 13.295 -6.000 2.000
2.000 -0.000 -6.211 94.047 14.536 -6.000 2.000
2.000 -0.000 -6.184 109.833 16.382 -6.000 2.000
2.000 -0.000 -6.158 128.783 18.664 -6.000 2.000
2.000 -0.000 -6.131 160.287 22.225 -6.000 2.000
2.000 -0.000 -6.104 204.946 27.807 -6.000 2.000
2.000 -0.000 -6.078 284.700 37.209 -6.000 2.000
2.000 -0.000 -6.051 468.835 48.375 -6.000 2.000
2.000 -0.000 -5.944 330.093 38.386 -6.000 2.000
2.000 -0.000 -5.918 232.059 31.367 -6.000 2.000
2.000 -0.000 -5.891 180.422 24.296 -6.000 2.000
2.000 -0.000 -5.864 146.767 19.560 -6.000 2.000
2.000 -0.000 -5.838 125.213 16.756 -6.000 2.000
2.000 -0.000 -5.811 109.654 14.769 -6.000 2.000
2.000 -0.000 -5.784 96.235 13.217 -6.000 2.000
2.000 -0.000 -5.758 86.414 11.944 -6.000 2.000
2.000 -0.000 -5.731 76.703 11.006 -6.000 2.000
2.000 -0.000 -5.704 70.866 10.235 -6.000 2.000
2.000 -0.000 -5.651 60.129 9.075 -6.000 2.000
2.000 -0.000 -5.571 50.235 7.941 -6.000 2.000
2.000 -0.000 -5.491 42.542 7.128 -6.000 2.000
2.000 -0.000 -5.411 35.280 6.571 -6.000 2.000
2.000 -0.000 -5.331 31.540 6.032 -6.000 2.000
2.000 -0.000 -5.251 26.044 5.835 -6.000 2.000
2.000 -0.000 -5.171 21.932 5.140 -6.000 2.000
2.000 -0.000 -5.091 17.816 4.737 -6.000 2.000
2.000 -0.000 -4.931 14.842 5.355 -6.000 2.000
2.000 -0.000 -4.851 17.283 4.991 -6.000 2.000
2.000 -0.000 -4.771 18.327 4.962 -6.000 2.000
2.000 -0.000 -4.691 22.833 5.217 -6.000 2.000
2.000 -0.000 -4.611 27.372 5.679 -6.000 2.000
2.000 -0.000 -4.531 37.765 6.095 -6.000 2.000
2.000 -0.000 -4.451 43.756 6.592 -6.000 2.000
2.000 -0.000 -4.371 58.260 7.473 -6.000 2.000
2.000 -0.000 -4.291 82.593 9.100 -6.000 2.000
2.000 -0.000 -4.264 93.582 9.869 -6.000 2.000
2.000 -0.000 -4.238 107.672 10.893 -6.000 2.000
2.000 -0.000 -4.211 124.118 12.202 -6.000 2.000
2.000 -0.000 -4.184 146.270 14.000 -6.000 2.000
2.000 -0.000 -4.158 179.213 16.599 -6.000 2.000
2.000 -0.000 -4.131 224.844 20.449 -6.000 2.000
2.000 -0.000 -4.104 297.327 26.886 -6.000 2.000
2.000 -0.000 -4.078 431.151 39.048 -6.000 2.000
2.000 -0.000 -4.051 759.281 60.895 -6.000 2.000
2.000 -0.000 -3.944 451.742 39.837 -6.000 2.000
2.000 -0.000 -3.918 331.147 32.038 -6.000 2.000
2.000 -0.000 -3.891 255.497 23.831 -6.000 2.000
2.000 -0.000 -3.864 219.489 19.305 -6.000 2.000
2.000 -0.000 -3.838 187.740 16.248 -6.000 2.000
2.000 -0.000 -3.811 164.409 14.072 -6.000 2.000
2.000 -0.000 -3.784 147.627 12.476 -6.000 2.000
2.000 -0.000 -3.758 134.339 11.250 -6.000 2.000
2.000 -0.000 -3.731 122.691 10.252 -6.000 2.000
2.000 -0.000 -3.704 113.142 9.451 -6.000 2.000
2.000 -0.000 -3.651 98.819 8.237 -6.000 2.000
2.000 -0.000 -3.571 82.872 7.023 -6.000 2.000
2.000 -0.000 -3.491 71.927 6.203 -6.000 2.000
2.000 -0.000 -3.411 65.075 5.625 -6.000 2.000
2.000 -0.000 -3.331 59.222 5.228 -6.000 2.000
2.000 -0.000 -3.251 52.924 4.904 -6.000 2.000
2.000 -0.000 -3.171 49.985 4.591 -6.000 2.000
2.000 -0.000 -3.091 47.092 4.480 -6.000 2.000
2.000 -0.000 -2.931 43.123 4.304 -6.000 2.000
2.000 -0.000 -2.851 42.689 4.231 -6.000 2.000
2.000 -0.000 -2.771 41.227 4.293 -6.000 2.000
2.000 -0.000 -2.691 42.704 4.371 -6.000 2.000
2.000 -0.000 -2.611 41.743 4.473 -6.000 2.000
2.000 -0.000 -2.531 42.110 4.642 -6.000 2.000
2.000 -0.000 -2.451 42.900 4.901 -6.000 2.000
2.000 -0.000 -2.371 46.941 5.326 -6.000 2.000
2.000 -0.000 -2.291 50.412 5.975 -6.000 2.000
2.000 -0.000 -2.264 53.638 6.290 -6.000 2.000
2.000 -0.000 -2.238 56.352 6.683 -6.000 2.000
2.000 -0.000 -2.211 60.632 7.134 -6.000 2.000
2.000 -0.000 -2.184 65.352 7.794 -6.000 2.000
2.000 -0.000 -2.158 74.553 8.736 -6.000 2.000
2.000 -0.000 -2.131 85.582 10.029 -6.000 2.000
2.000 -0.000 -2.104 104.983 12.205 -6.000 2.000
2.000 -0.000 -2.078 142.114 15.976 -6.000 2.000
2.000 -0.000 -2.051 246.979 22.431 -6.000 2.000
2.000 -0.000 -1.944 77.693 11.608 -6.000 2.000
2.000 -0.000 -1.918 53.486 10.248 -6.000 2.000
2.000 -0.000 -1.891 40.108 8.532 -6.000 2.000
2.000 -0.000 -1.864 28.031 6.700 -6.000 2.000
2.000 -0.000 -1.838 23.866 5.981 -6.000 2.000
2.000 -0.000 -1.811 18.039 5.248 -6.000 2.000
2.000 -0.000 -1.784 14.613 4.740 -6.000 2.000
2.000 -0.000 -1.758 13.778 4.386 -6.000 2.000
2.000 -0.000 -1.731 9.933 3.719 -6.000 2.000
2.000 -0.000 -1.704 9.826 3.672 -6.000 2.000
2.000 -0.000 -1.651 7.503 2.824 -6.000 2.000
2.000 -0.000 -1.571 6.879 2.484 -6.000 2.000
2.000 -0.000 -1.491 7.367 2.378 -6.000 2.000
2.000 -0.000 -1.411 7.995 2.417 -6.000 2.000
2.000 -0.000 -1.331 8.881 2.003 -6.000 2.000
2.000 -0.000 -1.251 10.328 2.347 -6.000 2.000
2.000 -0.000 -1.171 12.723 2.287 -6.000 2.000
2.000 -0.000 -1.091 13.743 2.330 -6.000 2.000
2.000 -0.000 -1.011 16.643 2.570 -6.000 2.000
2.000 -0.000 -0.931 19.608 2.386 -6.000 2.000
2.000 -0.000 -0.851 23.856 2.287 -6.000 2.000
2.000 -0.000 -0.771 29.234 2.276 -6.000 2.000
2.000 -0.000 -0.691 36.652 2.290 -6.000 2.000
2.000 -0.000 -0.611 46.862 2.391 -6.000 2.000
2.000 0.000 0.611 44.570 2.304 2.000 2.000
2.000 0.000 0.691 37.414 2.262 2.000 2.000
2.000 0.000 0.771 29.779 2.235 2.000 2.000
2.000 0.000 0.851 23.357 2.073 2.000 2.000
2.000 0.000 0.931 18.282 2.233 2.000 2.000
2.000 0.000 1.011 15.901 2.161 2.000 2.000
2.000 0.000 1.091 11.786 2.120 2.000 2.000
2.000 0.000 1.171 9.312 2.012 2.000 2.000
2.000 0.000 1.251 7.278 2.170 2.000 2.000
2.000 0.000 1.411 4.819 2.333 2.000 2.000
2.000 0.000 1.491 4.176 2.588 2.000 2.000
2.000 0.000 1.704 7.459 3.708 2.000 2.000
2.000 0.000 1.731 10.150 4.200 2.000 2.000
2.000 0.000 1.758 12.153 4.326 2.000 2.000
2.000 0.000 1.784 17.474 5.256 2.000 2.000
2.000 0.000 1.811 21.964 6.684 2.000 2.000
2.000 0.000 1.838 29.896 7.000 2.000 2.000
2.000 0.000 1.864 33.916 7.368 2.000 2.000
2.000 0.000 1.891 46.809 8.936 2.000 2.000
2.000 0.000 1.918 62.576 11.357 2.000 2.000
2.000 0.000 2.051 193.912 19.149 2.000 2.000
2.000 0.000 2.078 128.392 15.399 2.000 2.000
2.000 0.000 2.104 104.636 13.390 2.000 2.000
2.000 0.000 2.131 83.735 10.452 2.000 2.000
2.000 0.000 2.158 72.746 9.249 2.000 2.000
2.000 0.000 2.184 66.590 8.393 2.000 2.000
2.000 0.000 2.211 61.421 7.752 2.000 2.000
