#integrated ctr data(1000uM pb on rcut hematite, zero inten free)
#h 	k 	l 	I 	Ier 	Bl 		DL
-0.000 2.000 -2.771 10.337 4.414 -6.278 2.000
-0.000 2.000 -2.691 10.858 4.126 -6.278 2.000
-0.000 2.000 -2.611 13.295 4.793 -6.278 2.000
-0.000 2.000 -2.558 16.815 5.338 -6.278 2.000
-0.000 2.000 -2.531 19.915 5.732 -6.278 2.000
-0.000 2.000 -2.504 24.698 7.393 -6.278 2.000
-0.000 2.000 -2.478 29.125 7.891 -6.278 2.000
-0.000 2.000 -2.451 36.796 8.536 -6.278 2.000
-0.000 2.000 -2.424 44.759 9.408 -6.278 2.000
-0.000 2.000 -2.398 57.450 10.686 -6.278 2.000
-0.000 2.000 -2.371 80.773 13.176 -6.278 2.000
-0.000 2.000 -2.344 125.303 15.935 -6.278 2.000
-0.000 2.000 -2.211 105.816 15.337 -6.278 2.000
-0.000 2.000 -2.184 83.071 12.925 -6.278 2.000
-0.000 2.000 -2.158 71.870 11.043 -6.278 2.000
-0.000 2.000 -2.131 65.187 9.640 -6.278 2.000
-0.000 2.000 -2.104 58.258 8.711 -6.278 2.000
-0.000 2.000 -2.078 53.140 7.958 -6.278 2.000
-0.000 2.000 -2.051 50.371 7.410 -6.278 2.000
-0.000 2.000 -2.024 47.492 6.916 -6.278 2.000
-0.000 2.000 -1.998 46.525 6.560 -6.278 2.000
-0.000 2.000 -1.971 43.282 6.222 -6.278 2.000
-0.000 2.000 -1.891 42.193 5.420 -6.278 2.000
-0.000 2.000 -1.811 42.607 4.874 -6.278 2.000
-0.000 2.000 -1.731 44.242 4.480 -6.278 2.000
-0.000 2.000 -1.651 46.655 4.208 -6.278 2.000
-0.000 2.000 -1.571 49.606 3.990 -6.278 2.000
-0.000 2.000 -1.491 53.616 3.837 -6.278 2.000
-0.000 2.000 -1.411 57.120 3.693 -6.278 2.000
-0.000 2.000 -1.331 61.726 3.659 -6.278 2.000
-0.000 2.000 -1.251 65.122 3.611 -6.278 2.000
-0.000 2.000 -1.171 70.292 3.589 -6.278 2.000
-0.000 2.000 -1.091 75.577 3.565 -6.278 2.000
-0.000 2.000 -1.011 81.167 3.719 -6.278 2.000
-0.000 2.000 -0.931 87.392 3.847 -6.278 2.000
-0.000 2.000 -0.851 95.640 4.070 -6.278 2.000
-0.000 2.000 -0.771 106.892 4.448 -6.278 2.000
-0.000 2.000 -0.691 122.677 5.085 -6.278 2.000
-0.000 2.000 -0.611 139.688 5.973 -6.278 2.000
0.000 2.000 0.611 13.045 1.442 1.722 2.000
0.000 2.000 0.691 11.164 1.878 1.722 2.000
0.000 2.000 0.851 15.930 2.069 1.722 2.000
0.000 2.000 0.931 21.062 2.193 1.722 2.000
0.000 2.000 1.011 27.508 2.484 1.722 2.000
0.000 2.000 1.091 35.299 2.843 1.722 2.000
0.000 2.000 1.171 43.472 3.270 1.722 2.000
0.000 2.000 1.251 52.086 3.792 1.722 2.000
0.000 2.000 1.331 62.520 4.489 1.722 2.000
0.000 2.000 1.411 74.003 5.426 1.722 2.000
0.000 2.000 1.438 78.662 5.846 1.722 2.000
0.000 2.000 1.464 83.464 6.342 1.722 2.000
0.000 2.000 1.491 89.309 6.920 1.722 2.000
0.000 2.000 1.518 95.991 7.662 1.722 2.000
0.000 2.000 1.544 104.529 8.590 1.722 2.000
0.000 2.000 1.571 116.032 9.886 1.722 2.000
0.000 2.000 1.598 130.478 11.641 1.722 2.000
0.000 2.000 1.624 154.736 14.691 1.722 2.000
0.000 2.000 1.651 196.167 18.323 1.722 2.000
0.000 2.000 1.784 172.756 17.231 1.722 2.000
0.000 2.000 1.811 103.420 12.508 1.722 2.000
0.000 2.000 1.838 74.226 9.628 1.722 2.000
0.000 2.000 1.864 59.363 8.199 1.722 2.000
0.000 2.000 1.891 51.503 7.293 1.722 2.000
0.000 2.000 1.918 46.224 6.698 1.722 2.000
0.000 2.000 1.944 41.972 6.267 1.722 2.000
0.000 2.000 1.971 41.031 5.968 1.722 2.000
0.000 2.000 1.998 38.974 5.671 1.722 2.000
0.000 2.000 2.051 39.206 5.275 1.722 2.000
0.000 2.000 2.131 36.963 4.887 1.722 2.000
0.000 2.000 2.211 36.972 4.638 1.722 2.000
0.000 2.000 2.291 35.597 4.452 1.722 2.000
0.000 2.000 2.371 35.061 4.358 1.722 2.000
0.000 2.000 2.451 33.227 4.267 1.722 2.000
0.000 2.000 2.531 32.985 4.151 1.722 2.000
0.000 2.000 2.611 32.870 4.205 1.722 2.000
0.000 2.000 2.691 33.364 4.275 1.722 2.000
0.000 2.000 2.771 34.915 4.343 1.722 2.000
0.000 2.000 2.851 38.034 4.426 1.722 2.000
0.000 2.000 2.931 41.645 4.661 1.722 2.000
0.000 2.000 3.011 47.307 4.921 1.722 2.000
0.000 2.000 3.091 54.247 5.269 1.722 2.000
0.000 2.000 3.171 62.185 5.747 1.722 2.000
0.000 2.000 3.251 71.883 6.400 1.722 2.000
0.000 2.000 3.331 85.116 7.332 1.722 2.000
0.000 2.000 3.411 103.146 8.765 1.722 2.000
0.000 2.000 3.438 110.634 9.405 1.722 2.000
0.000 2.000 3.464 118.852 10.194 1.722 2.000
0.000 2.000 3.491 130.493 11.165 1.722 2.000
0.000 2.000 3.518 143.099 12.407 1.722 2.000
0.000 2.000 3.544 159.195 14.081 1.722 2.000
0.000 2.000 3.571 184.375 16.391 1.722 2.000
0.000 2.000 3.598 216.177 19.680 1.722 2.000
0.000 2.000 3.624 269.133 25.874 1.722 2.000
0.000 2.000 3.651 357.748 33.047 1.722 2.000
0.000 2.000 3.784 264.011 27.808 1.722 2.000
0.000 2.000 3.811 179.702 22.002 1.722 2.000
0.000 2.000 3.838 133.017 16.805 1.722 2.000
0.000 2.000 3.864 103.919 14.041 1.722 2.000
0.000 2.000 3.891 86.589 12.238 1.722 2.000
0.000 2.000 3.918 74.951 10.923 1.722 2.000
0.000 2.000 3.944 64.050 10.077 1.722 2.000
0.000 2.000 3.971 58.335 9.385 1.722 2.000
0.000 2.000 3.998 51.872 8.824 1.722 2.000
0.000 2.000 4.051 49.214 8.081 1.722 2.000
0.000 2.000 4.131 48.639 7.358 1.722 2.000
0.000 2.000 4.211 49.287 6.947 1.722 2.000
0.000 2.000 4.291 48.287 6.698 1.722 2.000
0.000 2.000 4.371 43.862 6.334 1.722 2.000
0.000 2.000 4.451 42.261 6.162 1.722 2.000
0.000 2.000 4.531 40.138 5.931 1.722 2.000
0.000 2.000 4.611 38.601 5.956 1.722 2.000
0.000 2.000 4.691 37.187 6.004 1.722 2.000
0.000 2.000 4.771 33.307 5.492 1.722 2.000
0.000 2.000 4.851 32.111 5.272 1.722 2.000
0.000 2.000 4.931 32.260 5.541 1.722 2.000
0.000 2.000 5.011 36.238 6.348 1.722 2.000
0.000 2.000 5.091 39.635 6.988 1.722 2.000
0.000 2.000 5.171 44.653 7.483 1.722 2.000
0.000 2.000 5.251 51.288 8.207 1.722 2.000
0.000 2.000 5.331 61.020 9.250 1.722 2.000
0.000 2.000 5.411 80.408 10.910 1.722 2.000
0.000 2.000 5.438 87.137 11.681 1.722 2.000
0.000 2.000 5.464 97.679 12.671 1.722 2.000
0.000 2.000 5.491 108.934 13.824 1.722 2.000
0.000 2.000 5.518 124.087 15.442 1.722 2.000
0.000 2.000 5.544 140.290 17.526 1.722 2.000
0.000 2.000 5.571 167.795 20.393 1.722 2.000
0.000 2.000 5.598 205.393 24.770 1.722 2.000
0.000 2.000 5.624 266.535 32.342 1.722 2.000
0.000 2.000 5.651 378.539 42.363 1.722 2.000
0.000 2.000 5.784 373.125 43.244 1.722 2.000
0.000 2.000 5.811 263.605 33.635 1.722 2.000
0.000 2.000 5.838 199.148 25.755 1.722 2.000
0.000 2.000 5.864 159.791 21.368 1.722 2.000
0.000 2.000 5.891 132.664 18.417 1.722 2.000
0.000 2.000 5.918 112.393 16.371 1.722 2.000
0.000 2.000 5.944 102.204 14.826 1.722 2.000
